,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성중공업,A010140,26850,236280,,실적발표,28379,2962,973,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,5.09,70.02,200.74,,,,,,,,,,,,
,조선,0.00,265.05,17.63,,QOQ,7.71,24.43,-31.47,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,43.31,5.69,13.15,8.10,,83,81,3,6,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,33,퀀트상위(%),67,,,,,,,,,,,,
,-17.32,2.20,-13.80,-5.48,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,155.68,36.07,5.69,0.42,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, OPM,-1.41,-6.63,-7.77,-8.39,-15.37,-19.81,-14.37,2.91,5.08,7.04,8.1,, OPM,5.16,6.45,4.94,7.63,9.04,10.44,
, NPM,-1.16,-4.29,-7.37,-17.83,-21.61,-21.82,-10.42,-1.85,0.65,3.34,5.12,, NPM,3.19,-3.58,3.69,7.98,5.39,3.43,
, 판관비율,5.98,4.73,7.69,9.22,8.58,8.25,6.6,5.15,4.22,4.49,4.81,, 판관비율,4.63,4.5,4.59,4.49,4.38,5.7,
, 연구비율,0.68,0.76,0.91,0.68,0.72,0.77,1.02,0.85,0.84,0.91,0.95,, 연구비율,0.83,1.04,0.85,0.89,0.84,1.18,
, 감가상각비율,3.04,3.98,5.6,4.31,4.12,3.01,3.35,3,2.92,2.7,2.67,, 감가상각비율,3.1,2.7,2.79,2.58,2.74,2.57,
, 설비투자비율,1.99,1.37,1.31,1.05,1.43,0.59,1.05,1.92,1.75,2.15,2.03,, 설비투자비율,1.89,2.42,1.68,2.49,1.97,1.96,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 현금흐름표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 영업활동현금흐름,-15548,5401,1655,-6812,-2439,8450,-16930,-5165,6545,23281,15628,, 영업활동현금흐름,1007,6898,-1311,4015,13679,-755,
, 당기순이익,-1388,-3407,-3882,-13154,-14927,-14521,-6274,-1556,539,3433,5357,, 당기순이익,714,-994,901,2123,1403,930,
