,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
, +-기타영업외손익,0,0,0,0,0,0,0,4,119,60,,, +-기타영업외손익,-31,111,-1,-119,69,0,
, =세전순익,0,0,0,0,0,0,0,185,1053,1669,,, =세전순익,292,333,387,481,468,570,
, -법인세,0,0,0,0,0,0,0,55,216,340,,, -법인세,63,63,75,102,100,140,
, =순이익,0,0,0,0,0,0,0,130,837,1329,,, =순이익,229,270,312,379,368,430,
, 지배순이익,21,9,43,23,14,11,41,391,837,1329,1464,, 지배순이익,229,270,312,379,368,405,
, 비지배순이익,-21,-9,-43,-23,-14,-11,-41,-261,0,0,,, 비지배순이익,0,0,0,0,0,25,
, GPM,0,0,0,0,0,0,0,16.04,42.99,46.11,,, GPM,44.79,42.9,47.37,47.78,46.19,0,
, OPM,4.75,2.03,-8.09,6.13,2.8,0.77,11.33,21.72,32.69,34.17,35.6,, OPM,34.88,31.09,37.96,36.01,32.1,36.88,
, NPM,3.57,1.66,8.48,3.53,2.18,1.7,3.81,18.23,25.06,28.39,29.17,, NPM,28.73,24.91,31.58,29.54,27.73,28.5,
, 판관비율,0,0,0,0,0,0,0,8.25,10.27,11.96,,, 판관비율,10.04,11.81,9.41,11.77,14.17,0,
, 연구비율,0,0,0,0,0,0,0,0.47,0.99,0.62,,, 연구비율,1.38,1.11,0.61,0.55,0.3,0,
, 감가상각비율,0,0,0,0,0,0,0,0.61,0.84,0.62,,, 감가상각비율,0.88,0.74,0.91,0,0.9,0,
, 설비투자비율,0,0,0,0,0,0,0,1.63,26.89,3.33,,, 설비투자비율,5.27,7.29,4.15,0,2.71,0,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 현금흐름표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 영업활동현금흐름,0,0,0,0,0,0,0,201,155,477,,, 영업활동현금흐름,72,137,168,0,172,0,
, 당기순이익,0,0,0,0,0,0,0,130,837,1329,,, 당기순이익,229,270,312,379,368,430,
, 감가상각비,0,0,0,0,0,0,0,13,28,29,,, 감가상각비,7,8,9,0,12,0,
, 투자활동현금흐름,0,0,0,0,0,0,0,-37,-1732,-586,,, 투자활동현금흐름,-693,-261,-365,0,40,0,
, 설비투자,0,0,0,0,0,0,0,35,898,156,,, 설비투자,42,79,41,0,36,0,
, 재무활동현금흐름,0,0,0,0,0,0,0,-183,1981,-150,,, 재무활동현금흐름,1461,-145,-10,0,5,0,
, FCF,0,0,0,0,0,0,0,166,-742,321,,, FCF,30,58,127,0,136,0,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 재무상태표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
