,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성전기,A009150,464500,346952,,실적발표,29021,2395,2228,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,16.45,108.20,6.92,,,,,,,,,,,,
,스마트폰 부품,0.39,48.98,30.20,,QOQ,0.45,-7.98,1.35,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,49.14,3.64,7.40,8.07,,86,80,73,5,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,70,퀀트상위(%),30,,,,,,,,,,,,
,17.15,1.61,9.67,10.62,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,3103.70,8.53,3.64,0.86,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 재무활동현금흐름,2813,1961,-2358,-6195,-2095,-11810,1931,-1731,-3091,-3380,4181,, 재무활동현금흐름,-40,-5567,3888,-701,-1000,1994,
, FCF,-3722,-7586,3635,-5267,8314,8870,2788,-294,6538,6561,2979,, FCF,1234,1068,1372,921,3200,-2514,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 재무상태표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 유동자산,28124,24788,35253,35075,41503,45983,48883,52084,58917,69932,70976,, 유동자산,61224,58917,64668,64809,69932,70976,
, 현금성자산,7958,4446,10024,8038,14798,11852,16771,16692,20133,27674,27012,, 현금성자산,24637,20133,25423,25413,27674,27012,
, 매출채권,7844,9135,10614,10963,9962,12881,10625,12411,14915,19202,18671,, 매출채권,14829,14915,16323,17262,19202,18671,
, 재고자산,8272,9189,11156,12713,13379,18184,19016,21195,22508,21651,24130,, 재고자산,20466,22508,21347,20724,21651,24130,
, 비유동자산,48502,52886,51196,51668,50752,53430,61089,64494,69007,68490,74983,, 비유동자산,64816,69007,68257,67196,68490,74983,
, 유형자산,37144,41547,45580,45145,44244,46394,52353,56033,59332,57879,62216,, 유형자산,56096,59332,58776,56718,57879,62216,
, 무형자산,922,1495,1625,1412,1383,1418,1501,1514,1456,1409,1524,, 무형자산,1506,1456,1441,1410,1409,1524,
, 투자자산,8479,8232,2501,2589,2946,3683,3399,2956,4180,5951,6432,, 투자자산,3690,4180,4496,5055,5951,6432,
, 유동부채,20432,24541,25096,18504,19149,22347,25251,29005,30569,35610,38195,, 유동부채,32677,30569,35588,34841,35610,38195,
, 매입채무,8502,7521,9270,9194,11652,15356,12386,13252,12124,13114,14690,, 매입채무,10184,12124,12780,12146,13114,14690,
, 비유동부채,12818,9818,11888,13938,14002,8355,7786,7270,7196,8555,9791,, 비유동부채,7723,7196,6858,7010,8555,9791,
, 순차입금,13386,20020,12094,11686,3877,0,0,0,0,0,0,, 순차입금,0,0,0,0,0,0,
, 차입금,24436,25689,24541,20114,19067,10825,15052,15965,16360,20633,22772,, 차입금,20343,16360,20692,20880,20633,22772,
, 부채총계,33250,34359,36984,32442,33151,30702,33037,36275,37765,44165,47986,, 부채총계,40400,37765,42446,41851,44165,47986,
, 자본총계,43376,43315,49465,54301,59104,68711,76935,80303,90159,94257,97973,, 자본총계,85640,90159,90479,90154,94257,97973,
, 지배주주지분,42401,42316,48210,52850,57723,67189,75385,78477,87892,91844,95418,, 지배주주지분,83526,87892,88126,87885,91844,95418,
, 투하자본,44758,52350,58080,59627,55933,62103,69608,76387,84631,85618,90327,, 투하자본,81207,84631,83666,82558,85618,90327,
, 운전자본,7614,10803,12500,14482,11689,15709,17255,20354,25299,27739,28111,, 운전자본,25111,25299,24890,25840,27739,28111,
, 총자산,76626,77674,86449,86743,92255,99413,109972,116578,127924,138422,145959,, 총자산,126040,127924,132925,132005,138422,145959,
, (개별)총자산,50726,49436,54489,54506,58239,66901,79103,82891,88709,98591,100939,, (개별)총자산,91356,88709,93226,93356,98591,100939,
, (개별)부채총계,10603,11974,14713,11251,12196,14147,21244,24051,25703,33341,33478,, (개별)부채총계,29921,25703,31212,30909,33341,33478,
, (개별)자본총계,40123,37462,39776,43255,46043,52754,57859,58840,63006,65250,67461,, (개별)자본총계,61435,63006,62014,62447,65250,67461,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
