,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,플리토,A300080,12220,2017,,실적발표,102,7,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,82.98,204.57,,,,,,,,,,,,,
,인터넷서비스,0.00,65.52,,,QOQ,-13.32,-74.53,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,33.49,12.09,36.10,17.10,,96,98,26,3,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,60,퀀트상위(%),40,,,,,,,,,,,,
,-43.52,11.91,-34.38,-29.99,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,125.12,15.26,34.71,1.72,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, =순이익,0,0,-14,-60,-30,-58,-59,-68,8,60,,, =순이익,12,5,2,23,30,9,
, 지배순이익,-31,-48,-38,-60,-30,-58,-59,-68,8,60,55,, 지배순이익,12,5,2,23,30,0,
, 비지배순이익,31,48,24,0,0,0,0,0,0,0,,, 비지배순이익,0,0,0,0,0,9,
, GPM,0,0,62.86,100,100,100,100,100,100,100,,, GPM,100,100,100,100,100,0,
, OPM,-213.33,-118.18,-48.57,-228,-45.95,-65.59,-48.53,-28.65,-1.97,17.83,16.94,, OPM,17.39,3.57,4.35,25.53,23.73,6.86,
, NPM,-206.67,-218.18,-108.57,-240,-40.54,-62.37,-43.38,-38.2,3.94,19.11,15.28,, NPM,17.39,8.93,4.35,24.47,25.42,0,
, 판관비율,0,0,71.43,332,145.95,166.67,148.53,128.65,101.97,81.53,,, 판관비율,82.61,94.64,95.65,73.4,76.27,0,
, 연구비율,0,0,-5.71,28,10.81,8.6,7.35,6.18,4.43,2.87,,, 연구비율,2.9,3.57,4.35,2.13,2.54,0,
, 감가상각비율,0,0,0,8,6.76,5.38,4.41,4.49,3.45,2.55,,, 감가상각비율,2.9,3.57,4.35,2.13,1.69,0,
, 설비투자비율,0,0,0,12,1.35,1.08,0.74,1.69,0.49,0.32,,, 설비투자비율,0,0,0,0,0.85,0,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 현금흐름표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 영업활동현금흐름,0,0,-4,-58,-18,-60,-54,-44,14,73,,, 영업활동현금흐름,-10,26,-7,-3,57,0,
, 당기순이익,0,0,-14,-60,-30,-58,-59,-68,8,60,,, 당기순이익,12,5,2,23,30,9,
