,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,에스텍,A069510,15060,1643,,실적발표,,,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,,,,,,,,,,,,,,,
,전자기기,5.64,57.89,,,QOQ,,,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,4.03,0.75,18.49,8.33,,70,91,32,56,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,82,퀀트상위(%),18,,,,,,,,,,,,
,8.79,0.72,5.64,2.10,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,54.93,2.47,1.37,0.55,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q(E),
, 지배순이익,147,99,200,172,122,-348,95,217,463,408,,, 지배순이익,106,101,108,81,118,,
, 비지배순이익,0,0,0,0,0,0,0,0,0,0,,, 비지배순이익,0,0,0,0,0,,
, GPM,15.59,14.91,15.34,14.32,13.5,3.3,9.22,15.03,18.85,21.04,,, GPM,15.65,23.46,19.68,21.98,18.72,,
, OPM,5.92,5.33,5.87,5.18,4.26,-13.88,1.86,5.93,8.64,8.32,,, OPM,10.04,3.05,10.05,12.6,8.14,,
, NPM,5.06,3.3,6.53,5.09,3.9,-10.52,2.03,5.23,9.09,8.44,,, NPM,6.91,7.69,9.05,6.85,10.32,,
, 판관비율,9.64,9.59,9.46,9.17,9.25,17.18,7.37,9.12,10.21,12.7,,, 판관비율,5.61,20.34,9.63,9.38,10.59,,
, 연구비율,0.03,0.17,0.13,0.18,0.26,0.21,0.28,0.53,0.27,0.31,,, 연구비율,0.07,0.38,0.25,0.25,0.35,,
, 감가상각비율,2.58,2.66,2.48,2.6,2.85,2.78,2.05,2.1,1.63,1.78,,, 감가상각비율,1.37,1.68,1.84,1.86,1.75,,
, 설비투자비율,3.51,3.16,2.71,3.05,3.07,3.14,1.26,3.01,1.83,2.03,,, 설비투자비율,2.15,1.75,1.09,3.63,1.66,,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,,,분기 현금흐름표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q(E),
, 영업활동현금흐름,238,129,238,232,147,-465,90,477,581,348,,, 영업활동현금흐름,60,326,-13,-45,80,,
, 당기순이익,147,99,200,172,122,-348,95,217,463,408,,, 당기순이익,106,101,108,81,118,,
, 감가상각비,75,80,76,88,89,92,96,87,83,86,,, 감가상각비,21,22,22,22,20,,
, 투자활동현금흐름,-135,-104,-174,-90,176,-252,212,-169,-92,-83,,, 투자활동현금흐름,-28,-52,25,-21,-35,,
, 설비투자,102,95,83,103,96,104,59,125,93,98,,, 설비투자,33,23,13,43,19,,
, 재무활동현금흐름,-63,-49,-104,-61,-30,202,44,-244,-99,-165,,, 재무활동현금흐름,-3,-53,-32,-73,-7,,
, FCF,136,34,156,129,51,-568,31,353,488,250,,, FCF,27,303,-26,-88,61,,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,,,분기 재무상태표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q(E),
, 유동자산,1505,1436,1561,1692,1809,1975,2053,2176,3398,3024,,, 유동자산,3003,3398,3362,2896,3024,,
, 현금성자산,385,340,307,394,678,173,508,568,1011,880,,, 현금성자산,744,1011,1007,823,880,,
, 매출채권,553,541,556,562,559,727,810,929,1529,1394,,, 매출채권,1406,1529,1551,1350,1394,,
, 재고자산,332,327,360,396,496,798,714,579,759,678,,, 재고자산,778,759,748,690,678,,
, 비유동자산,408,409,391,447,440,521,491,502,482,456,,, 비유동자산,463,482,475,460,456,,
, 유형자산,341,330,328,346,342,366,315,344,356,350,,, 유형자산,336,356,348,346,350,,
, 무형자산,20,23,21,20,19,19,18,19,21,22,,, 무형자산,21,21,22,21,22,,
, 투자자산,11,21,13,11,9,6,10,13,13,12,,, 투자자산,13,13,13,12,12,,
, 유동부채,645,562,524,543,628,1188,1102,1062,1783,1218,,, 유동부채,1519,1783,1700,1236,1218,,
, 매입채무,449,389,399,432,500,796,625,799,1525,865,,, 매입채무,1331,1525,1164,1036,865,,
, 비유동부채,27,38,38,56,51,39,47,58,62,58,,, 비유동부채,56,62,67,63,58,,
, 순차입금,0,0,0,0,0,0,0,0,0,0,,, 순차입금,0,0,0,0,0,,
, 차입금,172,153,95,102,120,385,428,227,189,142,,, 차입금,0,189,161,0,142,,
, 부채총계,672,600,562,599,679,1227,1149,1120,1845,1276,,, 부채총계,1575,1845,1767,1299,1276,,
, 자본총계,1241,1245,1390,1540,1570,1269,1395,1558,2035,2204,,, 자본총계,1891,2035,2070,2057,2204,,
, 지배주주지분,1241,1245,1390,1540,1570,1269,1395,1558,2035,2204,,, 지배주주지분,1891,2035,2070,2057,2204,,
, 투하자본,777,809,845,872,897,1095,1214,1053,1119,1557,,, 투하자본,1189,1119,1483,1350,1557,,
, 운전자본,436,479,517,526,555,729,899,709,763,1207,,, 운전자본,853,763,1135,1004,1207,,
, 총자산,1913,1845,1952,2139,2249,2496,2544,2678,3880,3480,,, 총자산,3466,3880,3837,3356,3480,,
, (개별)총자산,1355,1353,1469,1518,1567,1643,1734,1585,1967,2052,,, (개별)총자산,1696,1967,1990,1926,2052,,
, (개별)부채총계,387,347,420,452,449,534,437,380,585,658,,, (개별)부채총계,428,585,628,578,658,,
, (개별)자본총계,968,1006,1049,1066,1118,1109,1297,1205,1382,1394,,, (개별)자본총계,1268,1382,1362,1348,1394,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
