,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,하이브,A352820,344000,148153,,실적발표,7164,40,-2652,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,-1.38,-93.84,-820.46,,,,,,,,,,,,
,미디어,0.06,54.46,34.91,,QOQ,-1.48,109.42,-427.65,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,-62.44,4.55,-7.29,1.86,,37,30,92,11,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,32,퀀트상위(%),68,,,,,,,,,,,,
,122.17,3.48,3.10,11.90,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,858.82,20.57,7.14,1.69,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 비지배순이익,-90,-246,705,-738,14,40,-43,-38,-128,-74,-171,, 비지배순이익,-50,27,-58,-26,-17,-70,
, GPM,0,0,0,0,47.06,49.61,47.44,46.32,42.55,37.61,35.32,, GPM,45.57,40.78,43.59,40.29,27.72,32.36,
, OPM,29.55,35.17,26.51,16.81,18.27,15.14,13.34,13.57,8.16,4.13,1.86,, OPM,10.27,8.89,4.31,9.34,-5.8,0.56,
, NPM,25.57,26.62,-23.39,12.57,10.76,10.89,2.94,8.6,0.42,-0.03,-8.95,, NPM,1.21,-3.96,12.03,2.57,-6.92,-37.02,
, 판관비율,0,0,0,0,28.78,34.46,34.1,32.75,34.39,33.48,33.46,, 판관비율,35.3,31.9,39.25,30.95,33.53,31.8,
, 연구비율,0,0,0,0,0.21,0.22,0.28,0.21,0.23,0.23,0.26,, 연구비율,0.21,0.22,0.22,0.17,0.3,0.32,
, 감가상각비율,0,0,0,0,4.38,6.63,6.69,5.85,6.48,5.52,5.53,, 감가상각비율,6.8,5.13,7.29,5.19,5.02,5.15,
, 설비투자비율,0,0,0,0,4.96,4.3,0.96,1.04,1.46,1.21,1.18,, 설비투자비율,0.87,0.96,1.52,1.12,1.32,0.87,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 현금흐름표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 영업활동현금흐름,0,0,0,0,1167,1773,3471,3106,1516,1536,1075,, 영업활동현금흐름,919,1021,69,452,-6,560,
, 당기순이익,0,0,0,0,871,1408,480,1835,-34,-82,-2543,, 당기순이익,14,-261,544,155,-520,-2722,
, 감가상각비,0,0,0,0,349,833,1189,1274,1461,1469,1465,, 감가상각비,359,373,365,366,365,369,
, 투자활동현금흐름,0,0,0,0,-10224,-21102,-2853,-4708,-104,-2281,-1690,, 투자활동현금흐름,-956,-860,1226,-2251,-396,-269,
, 설비투자,0,0,0,0,395,540,171,227,329,321,313,, 설비투자,46,70,76,79,96,62,
, 재무활동현금흐름,0,0,0,0,11334,22263,-1882,-111,-1180,1936,1874,, 재무활동현금흐름,517,-14,-121,1656,415,-76,
, FCF,0,0,0,0,772,1232,3301,2879,1187,1215,762,, FCF,873,951,-7,373,-102,498,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 재무상태표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 유동자산,169,524,1340,1964,13893,20031,21158,18888,17877,23587,23640,, 유동자산,16640,17877,18037,22764,23587,23640,
, 현금성자산,65,289,348,839,3802,6777,5316,3579,4120,5147,5349,, 현금성자산,3658,4120,5361,5032,5147,5349,
, 매출채권,23,66,407,785,1167,1850,2700,2749,3113,3151,3288,, 매출채권,2954,3113,3032,3357,3151,3288,
, 재고자산,0,0,46,60,620,832,792,1259,1632,1880,1844,, 재고자산,1699,1632,1720,1898,1880,1844,
, 비유동자산,22,88,383,770,5351,27258,27547,34569,36915,32993,31215,, 비유동자산,35410,36915,37138,33404,32993,31215,
, 유형자산,3,11,87,67,484,869,988,1012,970,1070,870,, 유형자산,1023,970,991,1004,1070,870,
, 무형자산,7,2,63,67,2884,13300,14702,21653,22443,21281,19867,, 무형자산,21841,22443,22243,21023,21281,19867,
, 투자자산,3,15,136,514,337,11232,7912,7228,7629,5363,5203,, 투자자산,6630,7629,8313,5928,5363,5203,
, 유동부채,29,190,791,1043,2962,5866,8495,17722,8309,7311,7344,, 유동부채,12133,8309,8277,7637,7311,7344,
, 매입채무,24,118,382,504,1419,2335,3432,5915,4483,4507,4631,, 매입채무,4224,4483,4363,4738,4507,4631,
, 비유동부채,6,17,129,124,4293,12557,10923,4636,11345,14242,11996,, 비유동부채,7669,11345,11162,13638,14242,11996,
, 순차입금,0,0,0,0,0,0,0,0,0,0,0,, 순차입금,410,0,0,0,0,0,
, 차입금,0,0,170,121,3431,12259,11138,11058,10912,12799,10861,, 차입금,11154,10912,10846,12346,12799,10861,
, 부채총계,35,207,920,1167,7255,18423,19418,22358,19654,21553,19340,, 부채총계,19802,19654,19439,21275,21553,19340,
, 자본총계,156,405,803,1567,11989,28866,29287,31099,35138,35027,35515,, 자본총계,32248,35138,35736,34893,35027,35515,
, 지배주주지분,156,405,803,1567,11953,28119,27705,29194,32147,31805,32570,, 지배주주지분,29340,32147,32841,31707,31805,32570,
, 투하자본,2,-41,158,408,852,1216,1048,-895,1232,1594,1371,, 투하자본,1452,1232,1380,1521,1594,1371,
, 운전자본,-1,-52,71,341,368,347,60,-1907,262,524,501,, 운전자본,429,262,389,517,524,501,
, 총자산,191,612,1723,2734,19244,47289,48705,53457,54792,56580,54855,, 총자산,52050,54792,55175,56168,56580,54855,
, (개별)총자산,191,612,1723,2734,17129,39903,35858,36927,36773,40109,37334,, (개별)총자산,36338,36773,39197,39552,40109,37334,
, (개별)부채총계,35,207,920,1167,5091,13353,11402,13689,11516,12738,10755,, (개별)부채총계,12138,11516,12164,12567,12738,10755,
, (개별)자본총계,156,405,803,1567,12038,26550,24456,23238,25257,27371,26579,, (개별)자본총계,24200,25257,27033,26985,27371,26579,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
