,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,HD현대,A267250,265500,209727,,실적발표,187371,19719,4477,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,9.59,124.55,120.89,,,,,,,,,,,,
,지주사,1.36,166.34,14.30,,QOQ,2.81,15.83,156.40,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,21.78,2.18,7.45,8.56,,96,67,32,38,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,65,퀀트상위(%),35,,,,,,,,,,,,
,14.33,0.89,5.30,4.46,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,109.97,3.20,1.27,0.43,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 현금회전일수,0,-79.74,46.25,40.14,38.29,52.91,40.52,40.28,30.71,31.94,,,,,,,,,,
, 주식수 (만주),0,8143,8143,8143,7899,7899,7899,7899,7899,7899,7899,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,0,142995,272566,266303,189110,283537,608497,613313,677656,696195,712594,, 매출액,165992,170972,170869,172110,182244,187371,
, -매출원가,0,0,253604,248006,183413,257363,548831,563660,613387,608389,,, -매출원가,152841,152864,148959,150604,155962,0,
, =매출총이익,0,0,18962,18297,5697,26174,59666,49653,64269,87806,,, =매출총이익,13151,18108,21910,21506,26282,0,
, -판관비,0,0,10348,11631,11668,15808,25796,29337,34437,37747,,, -판관비,8835,9326,9046,10117,9258,0,
, *연구비,0,0,836,861,846,1715,3418,4107,4444,4767,,, *연구비,1056,1355,1025,1148,1239,0,
, =영업이익,0,8430,8614,6666,-5971,10366,33870,20316,29832,50058,60996,, =영업이익,4316,8781,12864,11389,17024,19719,
, +-금융손익,0,3965,-2317,-2713,-2177,-5008,-13078,-16195,-42902,-28615,,, +-금융손익,5687,-26834,-3900,15178,-13059,0,
, +-관계기업손익,0,668,930,396,2,-513,-634,42,-114,241,,, +-관계기업손익,78,-64,50,300,-45,0,
, +-기타영업외손익,0,-1072,-2916,-2321,-2386,-193,8806,5420,36877,18147,,, +-기타영업외손익,-9000,27642,1628,-20991,9868,0,
, =세전순익,0,0,4311,2028,-10532,4652,28964,9582,23693,39830,,, =세전순익,1080,9525,10642,5876,13787,17661,
, -법인세,0,-10130,1471,875,-2635,3146,6614,1724,4391,9546,,, -법인세,63,1764,2868,996,3918,3429,
, =순이익,0,10130,2840,1153,-7897,1506,22350,7858,19302,30284,,, =순이익,1017,7761,7774,4880,9869,14232,
, 지배순이익,0,9335,2686,1732,-6092,-1471,14086,2645,5090,7177,9627,, 지배순이익,-331,2027,2192,1212,1746,4477,
, 비지배순이익,0,795,154,-579,-1805,2977,8264,5213,14212,23107,,, 비지배순이익,1348,5734,5582,3668,8123,9755,
, GPM,0,0,6.96,6.87,3.01,9.23,9.81,8.1,9.48,12.61,,, GPM,7.92,10.59,12.82,12.5,14.42,0,
, OPM,0,5.9,3.16,2.5,-3.16,3.66,5.57,3.31,4.4,7.19,8.56,, OPM,2.6,5.14,7.53,6.62,9.34,10.52,
, NPM,0,6.53,0.99,0.65,-3.22,-0.52,2.31,0.43,0.75,1.03,1.35,, NPM,-0.2,1.19,1.28,0.7,0.96,2.39,
, 판관비율,0,0,3.8,4.37,6.17,5.58,4.24,4.78,5.08,5.42,,, 판관비율,5.32,5.45,5.29,5.88,5.08,0,
, 연구비율,0,0,0.31,0.32,0.45,0.6,0.56,0.67,0.66,0.68,,, 연구비율,0.64,0.79,0.6,0.67,0.68,0,
, 감가상각비율,0,2.17,1.84,2.55,4.12,3.18,2.6,2.87,2.83,2.97,,, 감가상각비율,2.91,2.97,2.97,3.03,2.9,0,
, 설비투자비율,0,5.04,3.27,4.68,11.69,6.88,3.23,3.41,2.54,2.72,,, 설비투자비율,2.52,2.76,3.29,2.2,2.65,0,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 현금흐름표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 영업활동현금흐름,0,8150,6681,12056,8871,43,21338,39349,75115,100500,,, 영업활동현금흐름,12283,28971,27286,16996,27247,0,
, 당기순이익,0,10130,2840,1153,-7897,1506,22350,7858,19302,30284,,, 당기순이익,1017,7761,7774,4880,9869,14232,
, 감가상각비,0,3109,5019,6799,7784,9016,15817,17589,19152,20650,,, 감가상각비,4827,5086,5071,5211,5282,0,
, 투자활동현금흐름,0,-6554,-17852,-16398,-18184,-16610,12354,-26224,-24009,-47207,,, 투자활동현금흐름,-5358,-7289,-9658,-7096,-23164,0,
, 설비투자,0,7207,8901,12455,22108,19514,19659,20938,17246,18949,,, 설비투자,4191,4711,5620,3783,4835,0,
, 재무활동현금흐름,0,3956,10929,13639,9501,17084,-15374,-9058,-39271,-22989,,, 재무활동현금흐름,-15035,-7807,5057,-12257,-7982,0,
, FCF,0,943,-2220,-399,-13237,-19472,1679,18410,57869,81551,,, FCF,8092,24260,21666,13213,22412,0,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 재무상태표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 유동자산,0,78272,88842,99352,80491,135550,301308,320831,355929,390156,,, 유동자산,319487,355928,397448,373254,390156,0,
, 현금성자산,0,11263,10998,20285,20385,21371,39948,44005,56671,72856,,, 현금성자산,42168,56671,79489,76516,72856,0,
, 매출채권,0,31571,27168,25806,19971,35480,51486,56773,58485,63134,,, 매출채권,58139,58485,68504,62053,63134,0,
, 재고자산,0,33020,43299,38767,30219,60319,94707,94163,100071,101043,,, 재고자산,97207,100071,104177,96987,101043,0,
