,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성전자,A005930,189000,11188116,,실적발표,938374,200737,192921,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,23.82,209.17,154.64,,,,,,,,,,,,
,종합 반도체,0.78,29.94,6.69,,QOQ,9.03,65.00,60.68,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,25.28,2.64,10.43,13.07,,91,91,78,8,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,91,퀀트상위(%),9,,,,,,,,,,,,
,12.75,1.29,10.29,11.80,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,32.38,5.26,2.64,0.81,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, -법인세,79876,140093,168151,86933,99373,134443,-92136,-44808,30783,30412,42748,, -법인세,2195,1529,9287,6397,13199,13865,
, =순이익,227261,421867,443449,217389,264078,399075,556541,154871,344514,333194,452067,, =순이익,101009,77544,82229,51164,122257,196417,
, 지배순이익,224157,413446,438909,215051,260908,392438,547300,144734,336214,325450,442610,, 지배순이익,97815,75761,80284,49340,120065,192921,
, 비지배순이익,3104,8421,4540,2338,3170,6637,9241,10137,8300,7744,9457,, 비지배순이익,3194,1783,1945,1824,2192,3496,
, GPM,40.42,46.03,45.69,36.09,38.98,40.48,37.12,30.33,37.99,36.65,39.38,, GPM,37.93,37.63,35.55,34.19,38.92,47.16,
, OPM,14.49,22.39,24.16,12.05,15.2,18.47,14.35,2.54,10.88,9.51,13.07,, OPM,11.61,8.57,8.45,6.27,14.14,21.39,
, NPM,11.1,17.26,18,9.33,11.02,14.04,18.11,5.59,11.17,10.31,13.27,, NPM,12.37,10,10.14,6.62,13.95,20.56,
, 판관비율,25.93,23.64,21.53,24.04,23.79,22.02,22.77,27.8,27.12,27.13,26.31,, 판관비율,26.32,29.06,27.1,27.92,24.78,25.77,
, 연구비율,6.99,6.83,7.53,8.64,8.92,8.01,8.25,10.94,11.63,11.77,11.31,, 연구비율,11.21,13.54,11.41,12.1,10.25,11.58,
, 감가상각비율,10.26,9.23,10.86,12.85,12.81,12.25,12.94,14.93,14.17,14.64,14.07,, 감가상각비율,13.98,15.17,14.55,15.23,13.73,13.04,
