,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,영화테크,A265560,8300,887,,실적발표,287,60,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,2.93,7.28,,,,,,,,,,,,,
,기타 자동차부품,1.20,32.57,,,QOQ,12.04,63.97,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,6.18,1.05,17.00,16.54,,95,96,70,40,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,99,퀀트상위(%),1,,,,,,,,,,,,
,18.11,2.00,10.27,9.25,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,280.48,5.02,4.54,0.84,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, NPM,9.12,9.8,7.29,-3.36,1.14,6.4,10.02,9.4,14.77,13.36,9.48,, NPM,11.71,14.7,10.82,4,24.61,0,
, 판관비율,0,10.81,12.34,15.25,17.71,20.44,17.12,15.1,15.51,15.03,,, 판관비율,18.47,13.26,16.04,15.64,15.23,0,
, 연구비율,0,2.2,2.62,3.59,4.86,7.39,5.01,4.47,5.06,5.94,,, 연구비율,6.76,5.38,4.85,7.64,5.86,0,
, 감가상각비율,0,2.87,3.55,5.38,6.29,6.4,7.52,6.93,4.64,4.27,,, 감가상각비율,4.5,3.94,4.48,1.82,7.03,0,
, 설비투자비율,0,5.41,7.85,6.28,12,13.79,11.69,8.78,12.45,7.14,,, 설비투자비율,7.66,25.45,6.34,4.36,-8.98,0,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 현금흐름표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 영업활동현금흐름,0,73,71,17,16,31,52,51,175,228,,, 영업활동현금흐름,36,87,41,59,41,0,
, 당기순이익,0,62,39,-15,4,26,48,61,140,143,,, 당기순이익,26,41,29,11,62,88,
, 감가상각비,0,17,19,24,22,26,36,45,44,46,,, 감가상각비,10,11,12,5,18,0,
, 투자활동현금흐름,0,-82,-126,-24,-90,-10,-147,-29,-77,-19,,, 투자활동현금흐름,-26,-15,18,1,-23,0,
, 설비투자,0,32,42,28,42,56,56,57,118,77,,, 설비투자,17,71,17,12,-23,0,
, 재무활동현금흐름,0,65,-44,-8,67,-4,89,-7,-29,-133,,, 재무활동현금흐름,-17,-14,-63,-57,1,0,
, FCF,0,42,29,-11,-26,-24,-4,-6,57,151,,, FCF,19,16,24,47,64,0,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 재무상태표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 유동자산,292,428,379,338,374,369,482,507,650,675,,, 유동자산,630,650,634,675,675,0,
, 현금성자산,66,133,34,19,11,29,20,33,94,104,,, 현금성자산,33,94,66,86,104,0,
, 매출채권,126,137,82,62,60,55,74,114,221,218,,, 매출채권,169,221,254,210,218,0,
, 재고자산,39,52,55,57,48,88,94,101,103,149,,, 재고자산,117,103,102,180,149,0,
, 비유동자산,183,186,210,221,244,277,331,358,421,445,,, 비유동자산,368,421,445,372,445,0,
, 유형자산,91,143,164,180,203,240,276,307,387,410,,, 유형자산,322,387,401,344,410,0,
, 무형자산,3,5,8,13,14,11,11,11,9,10,,, 무형자산,9,9,21,11,10,0,
, 투자자산,80,17,19,21,22,20,25,18,17,17,,, 투자자산,17,17,17,17,17,0,
, 유동부채,138,124,89,92,110,71,92,124,313,250,,, 유동부채,169,313,299,230,250,0,
, 매입채무,54,66,70,63,50,34,52,41,84,46,,, 매입채무,85,84,112,107,46,0,
, 비유동부채,18,22,25,14,8,48,152,114,14,25,,, 비유동부채,125,14,14,25,25,0,
, 순차입금,0,0,0,0,0,0,0,0,0,0,,, 순차입금,0,0,0,0,0,0,
, 차입금,78,49,37,39,64,82,154,162,196,70,,, 차입금,173,196,138,70,70,0,
, 부채총계,156,146,114,106,118,119,244,238,327,275,,, 부채총계,294,327,313,255,275,0,
, 자본총계,319,468,475,453,500,527,569,627,744,845,,, 자본총계,704,744,766,792,845,0,
, 지배주주지분,319,468,475,453,500,527,569,627,744,844,,, 지배주주지분,704,744,766,792,844,0,
, 투하자본,202,266,231,236,261,349,392,481,627,731,,, 투하자본,523,627,645,627,731,0,
, 운전자본,111,123,67,56,58,109,116,174,240,321,,, 운전자본,201,240,244,283,321,0,
, 총자산,475,614,589,559,618,646,813,865,1071,1120,,, 총자산,998,1071,1079,1047,1120,0,
, (개별)총자산,475,587,576,560,629,670,839,872,1079,1128,,, (개별)총자산,1014,1079,1099,1064,1128,0,
, (개별)부채총계,156,113,94,99,114,133,248,234,319,267,,, (개별)부채총계,288,319,312,256,267,0,
, (개별)자본총계,319,474,482,461,515,537,591,638,760,861,,, (개별)자본총계,726,760,787,808,861,0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
