,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,롯데케미칼,A011170,79800,34135,,실적발표,47099,-4335,-13238,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,-1.71,-85.52,-23.91,,,,,,,,,,,,
,종합 화학,1.88,76.52,-8.69,,QOQ,-1.59,-227.02,-1021.64,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,-1.68,0.27,-16.19,-5.10,,32,19,61,84,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,46,퀀트상위(%),54,,,,,,,,,,,,
,-25.76,0.39,-1.70,-0.27,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,99.33,4.79,1.51,0.18,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 당기순이익,18372,22846,16419,7567,1753,14136,278,-392,-18256,-20254,-24762,, 당기순이익,-5138,-11442,-2463,-4713,-1636,-15950,
, 감가상각비,6292,6912,6850,7316,8309,8327,9479,11726,12907,12289,12328,, 감가상각비,3320,3329,2996,2950,3014,3368,
, 투자활동현금흐름,-35646,-47176,-17631,6624,-6385,-14584,-6883,-50746,-19482,-1085,-5811,, 투자활동현금흐름,-6237,-1000,4562,-1871,-2776,-5726,
, 설비투자,15881,20199,18465,8922,8022,7733,25926,36400,22381,16485,16213,, 설비투자,5159,4046,3826,5550,3063,3774,
, 재무활동현금흐름,11005,11145,448,-19000,-4789,-71,21320,41958,-1875,-809,-1488,, 재무활동현금흐름,-3291,-2112,1010,2097,-1804,-2791,
, FCF,11125,11091,-4655,3856,5086,7129,-27601,-28505,-6957,-6224,-11323,, FCF,-2670,1234,340,-3765,-4033,-3865,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 재무상태표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 유동자산,58517,82255,81439,72209,68765,94307,94662,98144,89834,89581,79945,, 유동자산,92136,89834,95584,90477,89581,79945,
, 현금성자산,22029,16852,13300,13520,15223,16029,28097,27015,21118,27213,18703,, 현금성자산,19056,21118,30944,32346,27213,18703,
, 매출채권,15564,16820,15632,15337,14234,19384,22857,23424,21948,20935,18848,, 매출채권,22279,21948,25023,19661,20935,18848,
, 재고자산,14772,15360,17773,16797,15571,27930,25488,28017,28184,28600,29100,, 재고자산,28589,28184,29134,27663,28600,29100,
, 비유동자산,100151,113255,126552,128222,125101,134244,173183,236619,255689,247132,231228,, 비유동자산,252734,255689,252047,244010,247132,231228,
, 유형자산,55467,67162,80361,75051,71731,75034,107260,142726,160845,160528,145851,, 유형자산,155791,160845,161911,156786,160528,145851,
, 무형자산,17924,17106,16530,17251,14729,13553,12174,37323,33141,31541,26452,, 무형자산,37793,33141,32929,31417,31541,26452,
, 투자자산,26277,28418,29172,32540,34695,40803,44076,45508,47117,40827,43583,, 투자자산,46952,47117,43750,42144,40827,43583,
, 유동부채,34488,37909,39614,27400,28677,45791,63840,65235,85023,81278,76736,, 유동부채,83316,85023,76319,82917,81278,76736,
, 매입채무,12569,16885,12481,13188,11728,20258,21587,20238,18883,15135,18404,, 매입채무,16843,18883,17941,16531,15135,18404,
, 비유동부채,30172,35053,32934,32500,28065,28368,31363,67203,60621,63809,58153,, 비유동부채,64962,60621,68653,61868,63809,58153,
, 순차입금,15295,0,840,0,0,0,26000,61001,71937,71055,69015,, 순차입금,73349,71937,66209,65997,71055,69015,
, 차입금,41854,42024,47864,36316,33736,36658,63247,100141,106642,103763,96145,, 차입금,109571,106642,102404,102422,103763,96145,
, 부채총계,64660,72962,72548,59900,56742,74159,95203,132438,145644,145087,134889,, 부채총계,148278,145644,144972,144785,145087,134889,
, 자본총계,94008,122548,135443,140531,137124,154392,172642,202325,199879,191626,176284,, 자본총계,196592,199879,202659,189702,191626,176284,
, 지배주주지분,93631,114896,127347,132044,128465,143983,144454,155431,143523,134625,125849,, 지배주주지분,150257,143523,144072,133490,134625,125849,
, 투하자본,73234,82457,101285,93997,89808,102090,134018,173929,192094,194928,175395,, 투하자본,189816,192094,198127,187579,194928,175395,
, 운전자본,17767,15295,20924,18946,18077,27056,26758,31203,31249,34400,29544,, 운전자본,34025,31249,36216,30793,34400,29544,
, 총자산,158668,195510,207991,200431,193866,228551,267845,334763,345523,336713,311173,, 총자산,344870,345523,347631,334487,336713,311173,
, (개별)총자산,137859,152694,152019,143962,151761,174275,184581,211531,204691,190562,177788,, (개별)총자산,211025,204691,200875,195883,190562,177788,
, (개별)부채총계,51000,48921,37713,29369,35768,50885,67810,82075,86174,74808,69654,, (개별)부채총계,85700,86174,82534,81146,74808,69654,
, (개별)자본총계,86859,103773,114306,114593,115993,123390,116771,129456,118517,115754,108134,, (개별)자본총계,125325,118517,118341,114737,115754,108134,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
